,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,married
0,5524,Graduation,Single,58138.0,0,0,663.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,no
1,2174,Graduation,Single,46344.0,1,1,113.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,no
2,4141,Graduation,Together,71613.0,0,0,312.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,no
3,6182,Graduation,Together,26646.0,1,0,139.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,no
4,5324,PhD,Married,58293.0,1,0,161.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,yes
5,7446,Master,Together,62513.0,0,1,293.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,no
6,965,Graduation,Divorced,55635.0,0,1,593.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,no
7,6177,PhD,Married,33454.0,1,0,417.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,yes
8,4855,PhD,Together,30351.0,1,0,388.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,no
9,5899,PhD,Together,5648.0,1,1,108.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,no
10,1994,Graduation,Married,,1,0,226.0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,yes
11,387,Basic,Married,7500.0,0,0,593.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,yes
12,2125,Graduation,Divorced,63033.0,0,0,226.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,no
13,8180,Master,Divorced,59354.0,1,1,226.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,no
14,2569,Graduation,Married,17323.0,0,0,627.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,yes
15,2114,PhD,Single,82800.0,0,0,582.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,no
16,9736,Graduation,Married,41850.0,1,1,552.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,yes
17,4939,Graduation,Together,37760.0,0,0,667.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,no
18,6565,Master,Married,76995.0,0,1,458.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,yes
19,2278,Master,Single,33812.0,1,0,603.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,no
20,9360,Graduation,Married,37040.0,0,0,690.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,yes
21,5376,Graduation,Married,2447.0,1,0,539.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,yes
22,1993,PhD,Married,58607.0,0,1,553.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,yes
23,4047,PhD,Married,65324.0,0,1,169.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,yes
24,1409,Graduation,Together,40689.0,0,1,468.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,no
25,7892,Graduation,Single,18589.0,0,0,543.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,no
26,2404,Graduation,Married,53359.0,1,1,398.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,yes
27,5255,Graduation,Single,,1,0,494.0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,no
28,9422,Graduation,Married,38360.0,1,0,394.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,yes
29,1966,PhD,Married,84618.0,0,0,219.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,yes
30,6864,Master,Divorced,10979.0,0,0,38.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,no
31,3033,Master,Together,38620.0,0,0,414.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,no
32,5710,Graduation,Together,40548.0,0,1,627.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,no
33,7373,PhD,Divorced,46610.0,0,2,608.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,no
34,8755,Master,Married,68657.0,0,0,494.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,yes
35,10738,Master,Single,49389.0,1,1,304.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,no
36,4339,PhD,Married,67353.0,0,1,180.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,yes
37,10755,Master,Married,23718.0,1,0,300.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,yes
38,8595,Graduation,Widow,42429.0,0,1,138.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,no
39,2968,PhD,Divorced,48948.0,0,0,513.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,no
40,8601,Graduation,Married,80011.0,0,1,426.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,yes
41,503,Master,Married,20559.0,1,0,474.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,yes
42,8430,Graduation,Together,21994.0,0,1,552.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,no
43,7281,PhD,Single,,0,0,236.0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,no
44,2139,Master,Married,7500.0,1,0,270.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,yes
45,1371,Graduation,Single,79941.0,0,0,1.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,no
46,9909,Master,Married,7500.0,0,0,597.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,yes
47,7286,Graduation,Together,41728.0,1,0,401.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,no
48,7244,Graduation,Single,,2,1,179.0,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,no
49,6566,PhD,Married,72550.0,1,1,598.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,yes
